Method,Year,Local/Global,Pairwise/Multiple,Mapping
PathBLAST,2004,Local,Pairwise,Many-to-many
Græmlin 1.0,2006,Local,Multiple,Many-to-many
MaWish,2006,Local,Pairwise,Many-to-many
PHUNKEE,2007,Local,Pairwise,Many-to-many
IsoRank,2008,Global,Pairwise,One-to-one
NetworkBLAST,2008,Local,Pairwise,Many-to-many
NetworkBLAST-M,2008,Local,Multiple,Many-to-many
Græmlin 2.0,2009,Global,Multiple,Many-to-many
HopeMap,2009,Local,Pairwise,Many-to-many
IsoRankN,2009,Global,Multiple,Many-to-many
NATALIE,2009,Global,Pairwise,One-to-one
GRAAL,2010,Global,Pairwise,One-to-one
H-GRAAL,2010,Global,Pairwise,One-to-one
MI-GRAAL,2011,Global,Pairwise,One-to-one
AlignNemo,2012,Local,Pairwise,Many-to-many
AlignMCL,2012,Local,Pairwise,Many-to-many
C-GRAAL,2012,Global,Pairwise,One-to-one
CNetA,2012,Global,Pairwise,One-to-one
GHOST,2012,Global,Pairwise,One-to-one
NetAligner,2012,Local,Pairwise,Many-to-many
PINALOG,2012,Both,Pairwise,Both
BiG-Align,2013,Global,Pairwise,One-to-one
GEDEVO,2013,Global,Pairwise,One-to-one
NABEECO,2013,Global,Pairwise,One-to-one
NETAL,2013,Global,Pairwise,One-to-one
PISwap,2013,Global,Pairwise,One-to-one
SMETANA,2013,Global,Multiple,Many-to-many
SPINAL,2013,Global,Pairwise,One-to-one
BEAMS,2014,Local,Multiple,Many-to-many
DualAligner,2014,Both,Pairwise,Both
GASOLINE,2014,Local,Multiple,Many-to-many
GEDEVO-M,2014,Global,Multiple,One-to-one
HubAlign,2014,Global,Pairwise,One-to-one
MAGNA,2014,Global,Pairwise,One-to-one
NetCoffee,2014,Global,Multiple,Many-to-many
FASTAn,2015,Global,Pairwise,One-to-one
GREAT,2015,Global,Pairwise,One-to-one
L-GRAAL,2015,Global,Pairwise,One-to-one
MAGNA++,2015,Global,Pairwise,One-to-one
MODULA,2015,Local,Pairwise,Many-to-many
NATALIE 2.0,2015,Global,Pairwise,One-to-one
OptNetAlign,2015,Global,Pairwise,One-to-one
SMETANA-CSRW,2015,Global,Multiple,Many-to-many
WAVE,2015,Global,Pairwise,One-to-one
ACOGNA,2016,Global,Pairwise,One-to-one
CUFID,2016,Global,Pairwise,One-to-one
EigenAlign,2016,Global,Pairwise,One-to-one
FINAL,2016,Global,Pairwise,One-to-one
IONE,2016,Global,Pairwise,One-to-one
LowRankAlign,2016,Global,Pairwise,One-to-one
PALE,2016,Global,Pairwise,One-to-one
SUMONA,2016,Global,Pairwise,One-to-one
DynaMAGNA++,2017,Global,Pairwise,One-to-one
SANA,2017,Global,Pairwise,One-to-one
SSAlign,2017,Glocal,Pairwise,One-to-one
Deeplink,2018,Global,Pairwise,One-to-one
DynaWAVE,2018,Gloval,Pairwise,One-to-one
EigenAlignLR,2018,Global,Pairwise,One-to-one
MAPPIN,2018,Global,Multiple,One-to-one
multiMAGNA++,2018,Global,Multiple,One-to-one
PrimAlign,2018,Global,Pairwise,Many-to-many
REGAL,2018,Global,Pairwise,One-to-one
ACOGNA2,2019,Global,Pairwise,One-to-one
DANA,2019,Global,Pairwise,One-to-one
NAMA,2019,Global,Pairwise,One-to-one
AligNet,2020,Both,Pairwise,Both
ILP,2020,Global,Pairwise,One-to-one
TARA,2020,Global,Pairwise,Many-to-many
TARA-TS,2021,Global,Pairwise,Many-to-many
TARA++,2021,Global,Pairwise,Many-to-many
